Model:	LI-7810
SN:	TG10-01077
Software Version:	2.0.25
Timestamp:	2021-09-22 09:21:42
Timezone:	Europe/Amsterdam
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1632295302	170356035	12	256	2021-09-22	09:21:42	nan	nan	nan	103.271	18.1315	103.408	24.3437	0	0	18.1888	-8000	0	16.0309	188
DATA	1632295303	170314073	16	256	2021-09-22	09:21:43	nan	nan	nan	103.529	18.1315	103.667	24.3449	0	0	18.1888	-16000	0	15.9846	 11
DATA	1632295304	170284986	20	256	2021-09-22	09:21:44	nan	nan	nan	103.533	18.1315	103.668	24.5723	0	0	18.1891	-16000	0	15.9936	 14
DATA	1632295305	170243024	24	256	2021-09-22	09:21:45	nan	nan	nan	103.533	18.1315	103.669	28.0382	0	0	18.1895	-16000	0	16.0019	243
DATA	1632295306	170197010	28	256	2021-09-22	09:21:46	nan	nan	nan	103.533	18.1315	103.669	29.2735	0	0	18.1895	-16000	0	16.0074	  2
DATA	1632295307	170152902	32	256	2021-09-22	09:21:47	nan	nan	nan	103.532	18.132	103.668	29.7004	0	0	18.1895	-16000	0	16.0125	193
DATA	1632295308	170130968	36	256	2021-09-22	09:21:48	nan	nan	nan	103.532	18.1322	103.668	30.2597	0	0	18.1901	-16000	0	16.0156	253
DATA	1632295309	170130968	40	256	2021-09-22	09:21:49	nan	nan	nan	103.534	18.1322	103.668	29.9749	0	0	18.1903	-16000	0	16.0129	 12
DATA	1632295310	170130968	44	256	2021-09-22	09:21:50	nan	nan	nan	103.533	18.1322	103.668	29.9528	0	0	18.1903	-16000	0	16.0121	242
DATA	1632295311	170130968	48	256	2021-09-22	09:21:51	nan	nan	nan	103.533	18.1322	103.668	29.9566	0	0	18.1903	-16000	0	16.0121	250
DATA	1632295312	170130968	52	256	2021-09-22	09:21:52	nan	nan	nan	103.533	18.1322	103.668	29.9641	0	0	18.1908	-16000	0	15.6425	  2
DATA	1632295313	170130968	56	256	2021-09-22	09:21:53	nan	nan	nan	103.534	18.133	103.668	29.9711	0	0	18.1916	-16000	0	15.486	166
DATA	1632295314	170130968	60	256	2021-09-22	09:21:54	nan	nan	nan	103.535	18.1363	103.668	29.9771	0	0	18.1966	-16000	0	15.4777	 28
