dt,par,temp,date,time
22-09-202100:00:00,0,14.6,22-09-2021,00:00:00
22-09-202100:30:00,0,14.6,22-09-2021,00:30:00
22-09-202101:00:00,0,14.6,22-09-2021,01:00:00
22-09-202101:30:00,0,14.5,22-09-2021,01:30:00
22-09-202102:00:00,0,14.5,22-09-2021,02:00:00
22-09-202102:30:00,0,14.1,22-09-2021,02:30:00
22-09-202103:00:00,0,13.9,22-09-2021,03:00:00
22-09-202103:30:00,0,13.6,22-09-2021,03:30:00
22-09-202104:00:00,0,13.3,22-09-2021,04:00:00
22-09-202104:30:00,0,13.1,22-09-2021,04:30:00
22-09-202105:00:00,0,12.6,22-09-2021,05:00:00
22-09-202105:30:00,0,11.9,22-09-2021,05:30:00
22-09-202106:00:00,0,12.9,22-09-2021,06:00:00
22-09-202106:30:00,0,13,22-09-2021,06:30:00
22-09-202107:00:00,1.8,12.6,22-09-2021,07:00:00
22-09-202107:30:00,25.6,13.5,22-09-2021,07:30:00
22-09-202108:00:00,69.6,13.3,22-09-2021,08:00:00
22-09-202108:30:00,111.7,13.9,22-09-2021,08:30:00
22-09-202109:00:00,161.1,14.9,22-09-2021,09:00:00
22-09-202109:30:00,216.1,15.3,22-09-2021,09:30:00
22-09-202110:00:00,285.6,15.9,22-09-2021,10:00:00
22-09-202110:30:00,347.9,17.1,22-09-2021,10:30:00
22-09-202111:00:00,368,17,22-09-2021,11:00:00
22-09-202111:30:00,443.1,16.6,22-09-2021,11:30:00
22-09-202112:00:00,540.2,16.5,22-09-2021,12:00:00
22-09-202112:30:00,710.4,17.2,22-09-2021,12:30:00
22-09-202113:00:00,972.3,17.5,22-09-2021,13:00:00
22-09-202113:30:00,902.7,17.6,22-09-2021,13:30:00
22-09-202114:00:00,1019.9,17.8,22-09-2021,14:00:00
22-09-202114:30:00,972.3,17.9,22-09-2021,14:30:00
22-09-202115:00:00,875.2,18,22-09-2021,15:00:00
22-09-202115:30:00,818.5,17.8,22-09-2021,15:30:00
22-09-202116:00:00,723.3,17.5,22-09-2021,16:00:00
22-09-202116:30:00,576.8,18.3,22-09-2021,16:30:00
22-09-202117:00:00,507.2,18.1,22-09-2021,17:00:00
22-09-202117:30:00,335.1,17.4,22-09-2021,17:30:00
22-09-202118:00:00,287.5,17.7,22-09-2021,18:00:00
22-09-202118:30:00,150.1,17.3,22-09-2021,18:30:00
22-09-202119:00:00,43.9,16.6,22-09-2021,19:00:00
22-09-202119:30:00,1.8,15.9,22-09-2021,19:30:00
22-09-202120:00:00,0,15.4,22-09-2021,20:00:00
22-09-202120:30:00,0,14.4,22-09-2021,20:30:00
22-09-202121:00:00,0,14.6,22-09-2021,21:00:00
22-09-202121:30:00,0,14.4,22-09-2021,21:30:00
22-09-202122:00:00,0,13.3,22-09-2021,22:00:00
22-09-202122:30:00,0,13,22-09-2021,22:30:00
22-09-202123:00:00,0,12.7,22-09-2021,23:00:00
22-09-202123:30:00,0,11.7,22-09-2021,23:30:00
